sample_id,sorbent_name,sorbent_class,framework_code,adsorbate,adsorbate_class,capacity_mg_g,capacity_type,capacity_std,initial_conc_mg_L,dose_g_L,temperature_K,ph,contact_time_h,competing_ion,competing_ion_mg_L,si_al,na_al,k_al,ca_al,precursor,activator_molarity,bet_m2_g,pore_volume_cm3_g,cec_meq_100g,al_content_mol_kg,al_iv_pct,al_iv_mmol_g,kd_mL_g,kd_competing_ion,selectivity_factor,langmuir_b_L_mg,freundlich_kf,freundlich_n,dr_e_kj_mol,r2,provenance_doi,source_label,replicated,from_figure,value_repeated
Si20 Al1 Na1_rhodamine_6G,Si20 Al1 Na1,,,rhodamine_6G,dye,53.651482284887926,single_point_q,1.2523867010620973,150.0,1.0,,7.0,,,,20.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,248.5779,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si15 Al1 Na1_rhodamine_6G,Si15 Al1 Na1,,,rhodamine_6G,dye,27.98264642082429,single_point_q,1.0845986984815568,150.0,1.0,,7.0,,,,15.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,242.2844,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si10 Al1 Na1_rhodamine_6G,Si10 Al1 Na1,,,rhodamine_6G,dye,13.521330441070129,single_point_q,1.2523867010621057,150.0,1.0,,7.0,,,,10.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,205.9179,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si5Al1Na1_rhodamine_6G,Si5Al1Na1,,,rhodamine_6G,dye,7.736804049168493,single_point_q,0.626193350531061,150.0,1.0,,7.0,,,,5.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,132.029,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4Al1Na1_rhodamine_6G,Si4Al1Na1,,,rhodamine_6G,dye,6.290672451193075,single_point_q,0.0,150.0,1.0,,7.0,,,,4.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,109.1322,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3Al1Na1_rhodamine_6G,Si3Al1Na1,,,rhodamine_6G,dye,5.929139551699223,single_point_q,0.6261933505310446,150.0,1.0,,7.0,,,,3.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,71.6143,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2Al1Na1_rhodamine_6G,Si2Al1Na1,,,rhodamine_6G,dye,5.206073752711518,single_point_q,0.0,150.0,1.0,,7.0,,,,2.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,30.9583,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1Al1Na1_rhodamine_6G,Si1Al1Na1,,,rhodamine_6G,dye,2.3138105567607,single_point_q,0.6261933505310445,150.0,1.0,,7.0,,,,1.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,8.2712,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si20 Al1 Na1 Ca21_rhodamine_6G,Si20 Al1 Na1 Ca21,,,rhodamine_6G,dye,36.29790310918293,single_point_q,0.6261933505310364,150.0,1.0,,7.0,,,,20.0,1.0,,21.0,synthetic_colloidal_silica_Al_nitrate,,6.3727,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si15 Al1 Na1 Ca16_rhodamine_6G,Si15 Al1 Na1 Ca16,,,rhodamine_6G,dye,33.405639913232115,single_point_q,1.084598698481564,150.0,1.0,,7.0,,,,15.0,1.0,,16.0,synthetic_colloidal_silica_Al_nitrate,,6.039,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
